SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_GRADE,SCHOOL_GRADE_HEADCOUNT,SCHOOL_TOTAL_HEADCOUNT
2011/2012,BC Public School,599156,Kootenay Discovery School,District Distance Ed,3,Msk,78
2011/2012,BC Public School,599156,Kootenay Discovery School,District Distance Ed,6,Msk,78
2011/2012,BC Public School,599156,Kootenay Discovery School,District Distance Ed,7,Msk,78
2011/2012,BC Public School,599156,Kootenay Discovery School,District Distance Ed,8,Msk,78
2011/2012,BC Public School,599156,Kootenay Discovery School,District Distance Ed,9,Msk,78
2011/2012,BC Public School,599156,Kootenay Discovery School,District Distance Ed,10,Msk,78
2011/2012,BC Public School,599156,Kootenay Discovery School,District Distance Ed,11,10,78
2011/2012,BC Public School,599156,Kootenay Discovery School,District Distance Ed,12,33,78
2011/2012,BC Public School,599156,Kootenay Discovery School,District Distance Ed,GRADUATED ADULT,18,78
2011/2012,BC Public School,599156,Kootenay Discovery School,District Distance Ed,SECONDARY,Msk,78
2011/2012,BC Public School,603005,Marysville Elementary,Standard,1,40,150
2011/2012,BC Public School,603005,Marysville Elementary,Standard,2,40,150
2011/2012,BC Public School,603005,Marysville Elementary,Standard,3,33,150
2011/2012,BC Public School,603005,Marysville Elementary,Standard,KF,37,150
2011/2012,BC Public School,603007,Lindsay Park Elementary,Standard,1,39,150
2011/2012,BC Public School,603007,Lindsay Park Elementary,Standard,2,39,150
2011/2012,BC Public School,603007,Lindsay Park Elementary,Standard,3,36,150
2011/2012,BC Public School,603007,Lindsay Park Elementary,Standard,KF,36,150
2011/2012,BC Public School,603008,Selkirk Secondary School,Standard,8,98,411
2011/2012,BC Public School,603008,Selkirk Secondary School,Standard,9,81,411
2011/2012,BC Public School,603008,Selkirk Secondary School,Standard,10,74,411
2011/2012,BC Public School,603008,Selkirk Secondary School,Standard,11,80,411
2011/2012,BC Public School,603008,Selkirk Secondary School,Standard,12,78,411
2011/2012,BC Public School,604007,Windermere Elementary,Standard,1,20,158
2011/2012,BC Public School,604007,Windermere Elementary,Standard,2,16,158
2011/2012,BC Public School,604007,Windermere Elementary,Standard,3,18,158
2011/2012,BC Public School,604007,Windermere Elementary,Standard,4,12,158
2011/2012,BC Public School,604007,Windermere Elementary,Standard,5,19,158
2011/2012,BC Public School,604007,Windermere Elementary,Standard,6,32,158
2011/2012,BC Public School,604007,Windermere Elementary,Standard,7,26,158
2011/2012,BC Public School,604007,Windermere Elementary,Standard,KF,15,158
2011/2012,BC Public School,604011,Edgewater Elementary,Standard,1,11,91
2011/2012,BC Public School,604011,Edgewater Elementary,Standard,2,11,91
2011/2012,BC Public School,604011,Edgewater Elementary,Standard,3,13,91
2011/2012,BC Public School,604011,Edgewater Elementary,Standard,4,11,91
2011/2012,BC Public School,604011,Edgewater Elementary,Standard,5,Msk,91
2011/2012,BC Public School,604011,Edgewater Elementary,Standard,6,12,91
2011/2012,BC Public School,604011,Edgewater Elementary,Standard,7,11,91
2011/2012,BC Public School,604011,Edgewater Elementary,Standard,KF,16,91
2011/2012,BC Public School,604012,J Alfred Laird Elementary,Standard,4,43,166
2011/2012,BC Public School,604012,J Alfred Laird Elementary,Standard,5,41,166
2011/2012,BC Public School,604012,J Alfred Laird Elementary,Standard,6,37,166
2011/2012,BC Public School,604012,J Alfred Laird Elementary,Standard,7,45,166
2011/2012,BC Public School,604013,Martin Morigeau Elementary,Standard,1,10,67
2011/2012,BC Public School,604013,Martin Morigeau Elementary,Standard,2,12,67
2011/2012,BC Public School,604013,Martin Morigeau Elementary,Standard,3,Msk,67
2011/2012,BC Public School,604013,Martin Morigeau Elementary,Standard,4,Msk,67
2011/2012,BC Public School,604013,Martin Morigeau Elementary,Standard,5,Msk,67
2011/2012,BC Public School,604013,Martin Morigeau Elementary,Standard,6,10,67
2011/2012,BC Public School,604013,Martin Morigeau Elementary,Standard,7,Msk,67
2011/2012,BC Public School,604013,Martin Morigeau Elementary,Standard,KF,10,67
2011/2012,BC Public School,604014,Eileen Madson Primary School,Standard,1,45,190
2011/2012,BC Public School,604014,Eileen Madson Primary School,Standard,2,55,190
2011/2012,BC Public School,604014,Eileen Madson Primary School,Standard,3,48,190
2011/2012,BC Public School,604014,Eileen Madson Primary School,Standard,KF,42,190
2011/2012,BC Public School,604015,David Thompson Secondary,Standard,8,85,510
2011/2012,BC Public School,604015,David Thompson Secondary,Standard,9,101,510
2011/2012,BC Public School,604015,David Thompson Secondary,Standard,10,101,510
2011/2012,BC Public School,604015,David Thompson Secondary,Standard,11,100,510
2011/2012,BC Public School,604015,David Thompson Secondary,Standard,12,120,510
2011/2012,BC Public School,604015,David Thompson Secondary,Standard,SECONDARY,Msk,510
2011/2012,BC Public School,606000,Continuing Ed SD 06,Continuing Ed,12,Msk,Msk
2011/2012,BC Public School,606000,Continuing Ed SD 06,Continuing Ed,SECONDARY,Msk,Msk
2011/2012,BC Public School,606017,McKim Middle School,Standard,4,64,273
2011/2012,BC Public School,606017,McKim Middle School,Standard,5,68,273
2011/2012,BC Public School,606017,McKim Middle School,Standard,6,71,273
2011/2012,BC Public School,606017,McKim Middle School,Standard,7,70,273
2011/2012,BC Public School,618003,Lady Grey Elementary,Standard,4,67,239
2011/2012,BC Public School,618003,Lady Grey Elementary,Standard,5,57,239
2011/2012,BC Public School,618003,Lady Grey Elementary,Standard,6,53,239
2011/2012,BC Public School,618003,Lady Grey Elementary,Standard,7,62,239
2011/2012,BC Public School,618005,Golden Secondary,Standard,8,59,363
2011/2012,BC Public School,618005,Golden Secondary,Standard,9,74,363
2011/2012,BC Public School,618005,Golden Secondary,Standard,10,70,363
2011/2012,BC Public School,618005,Golden Secondary,Standard,11,77,363
2011/2012,BC Public School,618005,Golden Secondary,Standard,12,82,363
2011/2012,BC Public School,618005,Golden Secondary,Standard,SECONDARY,Msk,363
2011/2012,BC Public School,618006,Field Elementary,Standard,1,Msk,Msk
2011/2012,BC Public School,618006,Field Elementary,Standard,2,Msk,Msk
2011/2012,BC Public School,618006,Field Elementary,Standard,3,Msk,Msk
2011/2012,BC Public School,618006,Field Elementary,Standard,KF,Msk,Msk
2011/2012,BC Public School,618007,Nicholson Elementary,Standard,1,13,86
2011/2012,BC Public School,618007,Nicholson Elementary,Standard,2,Msk,86
2011/2012,BC Public School,618007,Nicholson Elementary,Standard,3,11,86
2011/2012,BC Public School,618007,Nicholson Elementary,Standard,4,12,86
2011/2012,BC Public School,618007,Nicholson Elementary,Standard,5,11,86
2011/2012,BC Public School,618007,Nicholson Elementary,Standard,6,Msk,86
2011/2012,BC Public School,618007,Nicholson Elementary,Standard,7,Msk,86
2011/2012,BC Public School,618007,Nicholson Elementary,Standard,KF,13,86
2011/2012,BC Public School,618008,Alexander Park Elementary,Standard,1,60,194
2011/2012,BC Public School,618008,Alexander Park Elementary,Standard,2,47,194
2011/2012,BC Public School,618008,Alexander Park Elementary,Standard,3,40,194
2011/2012,BC Public School,618008,Alexander Park Elementary,Standard,KF,47,194
2011/2012,BC Public School,699069,Golden Alternate School,Alternate,9,Msk,30
2011/2012,BC Public School,699069,Golden Alternate School,Alternate,10,Msk,30
2011/2012,BC Public School,699069,Golden Alternate School,Alternate,11,Msk,30
2011/2012,BC Public School,699069,Golden Alternate School,Alternate,12,18,30
2011/2012,BC Public School,699069,Golden Alternate School,Alternate,SECONDARY,Msk,30
2011/2012,BC Public School,699086,Kimberley Alternate School,Alternate,9,Msk,24
2011/2012,BC Public School,699086,Kimberley Alternate School,Alternate,10,Msk,24
2011/2012,BC Public School,699086,Kimberley Alternate School,Alternate,11,Msk,24
2011/2012,BC Public School,699086,Kimberley Alternate School,Alternate,12,Msk,24
2011/2012,BC Public School,699086,Kimberley Alternate School,Alternate,SECONDARY,Msk,24
2011/2012,BC Public School,699127,Open Doors Alternate Education,Alternate,10,Msk,27
2011/2012,BC Public School,699127,Open Doors Alternate Education,Alternate,11,Msk,27
2011/2012,BC Public School,699127,Open Doors Alternate Education,Alternate,12,14,27
2011/2012,BC Public School,699127,Open Doors Alternate Education,Alternate,GRADUATED ADULT,Msk,27
2011/2012,BC Public School,699127,Open Doors Alternate Education,Alternate,SECONDARY,Msk,27
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,1,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,2,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,3,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,4,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,5,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,6,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,7,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,8,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,9,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,10,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,11,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,12,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,GRADUATED ADULT,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,KF,Msk,40
2011/2012,BC Public School,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,SECONDARY,Msk,40
2011/2012,BC Public School,807004,Hume Elementary School,Standard,1,38,188
2011/2012,BC Public School,807004,Hume Elementary School,Standard,2,34,188
2011/2012,BC Public School,807004,Hume Elementary School,Standard,3,39,188
2011/2012,BC Public School,807004,Hume Elementary School,Standard,4,25,188
2011/2012,BC Public School,807004,Hume Elementary School,Standard,5,23,188
2011/2012,BC Public School,807004,Hume Elementary School,Standard,KF,29,188
2011/2012,BC Public School,807005,Trafalgar Middle School,Standard,6,159,447
2011/2012,BC Public School,807005,Trafalgar Middle School,Standard,7,139,447
2011/2012,BC Public School,807005,Trafalgar Middle School,Standard,8,149,447
2011/2012,BC Public School,807011,Salmo Elementary School,Standard,1,27,179
2011/2012,BC Public School,807011,Salmo Elementary School,Standard,2,26,179
2011/2012,BC Public School,807011,Salmo Elementary School,Standard,3,29,179
2011/2012,BC Public School,807011,Salmo Elementary School,Standard,4,21,179
2011/2012,BC Public School,807011,Salmo Elementary School,Standard,5,23,179
2011/2012,BC Public School,807011,Salmo Elementary School,Standard,6,24,179
2011/2012,BC Public School,807011,Salmo Elementary School,Standard,KF,29,179
2011/2012,BC Public School,807012,Salmo Secondary,Standard,7,18,123
2011/2012,BC Public School,807012,Salmo Secondary,Standard,8,11,123
2011/2012,BC Public School,807012,Salmo Secondary,Standard,9,21,123
2011/2012,BC Public School,807012,Salmo Secondary,Standard,10,22,123
2011/2012,BC Public School,807012,Salmo Secondary,Standard,11,13,123
2011/2012,BC Public School,807012,Salmo Secondary,Standard,12,18,123
2011/2012,BC Public School,807012,Salmo Secondary,Standard,SECONDARY,20,123
2011/2012,BC Public School,807013,L V Rogers Secondary,Standard,9,178,779
2011/2012,BC Public School,807013,L V Rogers Secondary,Standard,10,181,779
2011/2012,BC Public School,807013,L V Rogers Secondary,Standard,11,211,779
2011/2012,BC Public School,807013,L V Rogers Secondary,Standard,12,199,779
2011/2012,BC Public School,807013,L V Rogers Secondary,Standard,GRADUATED ADULT,Msk,779
2011/2012,BC Public School,807013,L V Rogers Secondary,Standard,SECONDARY,Msk,779
2011/2012,BC Public School,807014,South Nelson Elementary,Standard,1,12,185
2011/2012,BC Public School,807014,South Nelson Elementary,Standard,2,37,185
2011/2012,BC Public School,807014,South Nelson Elementary,Standard,3,36,185
2011/2012,BC Public School,807014,South Nelson Elementary,Standard,4,39,185
2011/2012,BC Public School,807014,South Nelson Elementary,Standard,5,30,185
2011/2012,BC Public School,807014,South Nelson Elementary,Standard,KF,31,185
2011/2012,BC Public School,807016,Blewett Elementary School,Standard,1,23,112
2011/2012,BC Public School,807016,Blewett Elementary School,Standard,2,20,112
2011/2012,BC Public School,807016,Blewett Elementary School,Standard,3,13,112
2011/2012,BC Public School,807016,Blewett Elementary School,Standard,4,17,112
2011/2012,BC Public School,807016,Blewett Elementary School,Standard,5,17,112
2011/2012,BC Public School,807016,Blewett Elementary School,Standard,KF,22,112
2011/2012,BC Public School,807018,Rosemont Elementary School,Standard,1,13,98
2011/2012,BC Public School,807018,Rosemont Elementary School,Standard,2,17,98
2011/2012,BC Public School,807018,Rosemont Elementary School,Standard,3,13,98
2011/2012,BC Public School,807018,Rosemont Elementary School,Standard,4,16,98
2011/2012,BC Public School,807018,Rosemont Elementary School,Standard,5,16,98
2011/2012,BC Public School,807018,Rosemont Elementary School,Standard,KF,23,98
2011/2012,BC Public School,807025,Mount Sentinel Secondary,Standard,7,47,365
2011/2012,BC Public School,807025,Mount Sentinel Secondary,Standard,8,70,365
2011/2012,BC Public School,807025,Mount Sentinel Secondary,Standard,9,60,365
2011/2012,BC Public School,807025,Mount Sentinel Secondary,Standard,10,49,365
2011/2012,BC Public School,807025,Mount Sentinel Secondary,Standard,11,71,365
2011/2012,BC Public School,807025,Mount Sentinel Secondary,Standard,12,68,365
2011/2012,BC Public School,807026,W.E. Graham Community School,Standard,1,Msk,57
2011/2012,BC Public School,807026,W.E. Graham Community School,Standard,2,Msk,57
2011/2012,BC Public School,807026,W.E. Graham Community School,Standard,3,Msk,57
2011/2012,BC Public School,807026,W.E. Graham Community School,Standard,4,Msk,57
2011/2012,BC Public School,807026,W.E. Graham Community School,Standard,5,Msk,57
2011/2012,BC Public School,807026,W.E. Graham Community School,Standard,6,Msk,57
2011/2012,BC Public School,807026,W.E. Graham Community School,Standard,7,Msk,57
2011/2012,BC Public School,807026,W.E. Graham Community School,Standard,8,Msk,57
2011/2012,BC Public School,807026,W.E. Graham Community School,Standard,9,Msk,57
2011/2012,BC Public School,807026,W.E. Graham Community School,Standard,10,11,57
2011/2012,BC Public School,807026,W.E. Graham Community School,Standard,KF,Msk,57
2011/2012,BC Public School,807033,Brent Kennedy Elementary,Standard,1,37,224
2011/2012,BC Public School,807033,Brent Kennedy Elementary,Standard,2,37,224
2011/2012,BC Public School,807033,Brent Kennedy Elementary,Standard,3,34,224
2011/2012,BC Public School,807033,Brent Kennedy Elementary,Standard,4,31,224
2011/2012,BC Public School,807033,Brent Kennedy Elementary,Standard,5,30,224
2011/2012,BC Public School,807033,Brent Kennedy Elementary,Standard,6,23,224
2011/2012,BC Public School,807033,Brent Kennedy Elementary,Standard,KF,32,224
2011/2012,BC Public School,807034,Winlaw Elementary School,Standard,1,11,80
2011/2012,BC Public School,807034,Winlaw Elementary School,Standard,2,15,80
2011/2012,BC Public School,807034,Winlaw Elementary School,Standard,3,11,80
2011/2012,BC Public School,807034,Winlaw Elementary School,Standard,4,Msk,80
2011/2012,BC Public School,807034,Winlaw Elementary School,Standard,5,10,80
2011/2012,BC Public School,807034,Winlaw Elementary School,Standard,6,13,80
2011/2012,BC Public School,807034,Winlaw Elementary School,Standard,KF,12,80
2011/2012,BC Public School,807035,Redfish Elementary School,Standard,1,13,104
2011/2012,BC Public School,807035,Redfish Elementary School,Standard,2,19,104
2011/2012,BC Public School,807035,Redfish Elementary School,Standard,3,22,104
2011/2012,BC Public School,807035,Redfish Elementary School,Standard,4,12,104
2011/2012,BC Public School,807035,Redfish Elementary School,Standard,5,25,104
2011/2012,BC Public School,807035,Redfish Elementary School,Standard,KF,13,104
2011/2012,BC Public School,886004,Adam Robertson Elementary,Standard,1,40,354
2011/2012,BC Public School,886004,Adam Robertson Elementary,Standard,2,34,354
2011/2012,BC Public School,886004,Adam Robertson Elementary,Standard,3,48,354
2011/2012,BC Public School,886004,Adam Robertson Elementary,Standard,4,40,354
2011/2012,BC Public School,886004,Adam Robertson Elementary,Standard,5,52,354
2011/2012,BC Public School,886004,Adam Robertson Elementary,Standard,6,42,354
2011/2012,BC Public School,886004,Adam Robertson Elementary,Standard,7,56,354
2011/2012,BC Public School,886004,Adam Robertson Elementary,Standard,KF,42,354
2011/2012,BC Public School,886005,Jewett Elementary,Standard,1,Msk,26
2011/2012,BC Public School,886005,Jewett Elementary,Standard,2,Msk,26
2011/2012,BC Public School,886005,Jewett Elementary,Standard,3,Msk,26
2011/2012,BC Public School,886005,Jewett Elementary,Standard,4,Msk,26
2011/2012,BC Public School,886005,Jewett Elementary,Standard,5,Msk,26
2011/2012,BC Public School,886005,Jewett Elementary,Standard,KF,Msk,26
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,1,Msk,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,2,Msk,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,3,Msk,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,4,11,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,5,13,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,6,Msk,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,7,Msk,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,8,Msk,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,9,Msk,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,10,Msk,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,11,Msk,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,12,Msk,84
2011/2012,BC Public School,886006,Crawford Bay Elem-Secondary,Standard,KF,Msk,84
2011/2012,BC Public School,886007,Prince Charles Secondary,Standard,8,99,550
2011/2012,BC Public School,886007,Prince Charles Secondary,Standard,9,94,550
2011/2012,BC Public School,886007,Prince Charles Secondary,Standard,10,119,550
2011/2012,BC Public School,886007,Prince Charles Secondary,Standard,11,120,550
2011/2012,BC Public School,886007,Prince Charles Secondary,Standard,12,115,550
2011/2012,BC Public School,886007,Prince Charles Secondary,Standard,GRADUATED ADULT,Msk,550
2011/2012,BC Public School,886007,Prince Charles Secondary,Standard,SECONDARY,Msk,550
2011/2012,BC Public School,886012,Yahk Elementary,Standard,1,Msk,18
2011/2012,BC Public School,886012,Yahk Elementary,Standard,2,Msk,18
2011/2012,BC Public School,886012,Yahk Elementary,Standard,3,Msk,18
