DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_YEAR,MEASURE_NAME,MEASURE_VALUE
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2011/2012,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,1996/1997,FIRST TIME GRADE 12 GRAD,55
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,1997/1998,FIRST TIME GRADE 12 GRAD,81
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,1998/1999,FIRST TIME GRADE 12 GRAD,62
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,1999/2000,FIRST TIME GRADE 12 GRAD,71
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2000/2001,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2001/2002,FIRST TIME GRADE 12 GRAD,81
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2002/2003,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2003/2004,FIRST TIME GRADE 12 GRAD,89
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2004/2005,FIRST TIME GRADE 12 GRAD,82
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2005/2006,FIRST TIME GRADE 12 GRAD,80
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2006/2007,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2007/2008,FIRST TIME GRADE 12 GRAD,95
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2008/2009,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2009/2010,FIRST TIME GRADE 12 GRAD,90
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2010/2011,FIRST TIME GRADE 12 GRAD,89
