SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SURVEY_TOPIC,QUESTION_LABEL_LONG_DESCR,SURVEY_QUESTION,GRADE_GROUP_DESCRIPTION,NON_EXCLUDED_RESPONSES,MANY_OR_ALL_RESPONSES,MANY_OR_ALL_PCT
2010/2011,SCHOOL LEVEL,BC Public School,5,Southeast Kootenay,505018,Parkland Middle School,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,10,5,50
2010/2011,SCHOOL LEVEL,BC Public School,5,Southeast Kootenay,505018,Parkland Middle School,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,10,6,60
2010/2011,SCHOOL LEVEL,BC Public School,5,Southeast Kootenay,505033,Elkford Elementary Secondary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,5,Southeast Kootenay,505033,Elkford Elementary Secondary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,5,Southeast Kootenay,505033,Elkford Elementary Secondary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,5,Southeast Kootenay,505033,Elkford Elementary Secondary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,5,Southeast Kootenay,505034,Fernie Secondary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,5,Southeast Kootenay,505034,Fernie Secondary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,5,Southeast Kootenay,505034,Fernie Secondary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,5,Southeast Kootenay,505034,Fernie Secondary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,603005,Marysville Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,603005,Marysville Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,603005,Marysville Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,603005,Marysville Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,603007,Lindsay Park Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,603007,Lindsay Park Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,603007,Lindsay Park Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,603007,Lindsay Park Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604007,Windermere Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,12,12,100
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604007,Windermere Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,13,11,85
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604007,Windermere Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,13,13,100
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604007,Windermere Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,12,9,75
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604011,Edgewater Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604011,Edgewater Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604011,Edgewater Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604011,Edgewater Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604012,J Alfred Laird Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,14,13,93
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604012,J Alfred Laird Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,14,13,93
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604012,J Alfred Laird Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,14,12,86
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604012,J Alfred Laird Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,14,11,79
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604013,Martin Morigeau Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604013,Martin Morigeau Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604013,Martin Morigeau Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604013,Martin Morigeau Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604014,Eileen Madson Primary School,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,22,17,77
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604014,Eileen Madson Primary School,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,21,15,71
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604014,Eileen Madson Primary School,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,22,19,86
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,604014,Eileen Madson Primary School,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,21,17,81
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,606017,McKim Middle School,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,20,19,95
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,606017,McKim Middle School,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,20,16,80
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,606017,McKim Middle School,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,20,17,85
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,606017,McKim Middle School,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,20,13,65
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618003,Lady Grey Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,18,13,72
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618003,Lady Grey Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,18,10,56
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618003,Lady Grey Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,18,8,44
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618003,Lady Grey Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,18,6,33
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618007,Nicholson Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618007,Nicholson Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618007,Nicholson Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618007,Nicholson Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618008,Alexander Park Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,16,10,63
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618008,Alexander Park Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,16,8,50
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618008,Alexander Park Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,15,8,53
2010/2011,SCHOOL LEVEL,BC Public School,6,Rocky Mountain,618008,Alexander Park Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,15,9,60
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807004,Hume Elementary School,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807004,Hume Elementary School,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807004,Hume Elementary School,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807004,Hume Elementary School,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807005,Trafalgar Middle School,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807005,Trafalgar Middle School,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807005,Trafalgar Middle School,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807005,Trafalgar Middle School,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807011,Salmo Elementary School,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807011,Salmo Elementary School,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807011,Salmo Elementary School,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807011,Salmo Elementary School,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807014,South Nelson Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807014,South Nelson Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807014,South Nelson Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807014,South Nelson Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807016,Blewett Elementary School,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807016,Blewett Elementary School,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807016,Blewett Elementary School,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807016,Blewett Elementary School,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807025,Mount Sentinel Secondary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807025,Mount Sentinel Secondary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807025,Mount Sentinel Secondary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807025,Mount Sentinel Secondary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807026,W.E. Graham Community School,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807026,W.E. Graham Community School,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807026,W.E. Graham Community School,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807026,W.E. Graham Community School,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807033,Brent Kennedy Elementary,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807033,Brent Kennedy Elementary,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807033,Brent Kennedy Elementary,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807033,Brent Kennedy Elementary,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Elementary Parents,Msk,Msk,Msk
2010/2011,SCHOOL LEVEL,BC Public School,8,Kootenay Lake,807034,Winlaw Elementary School,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Elementary Parents,Msk,Msk,Msk
