DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,MINCODE_ATTRIB,SCHOOL_NAME_ATTRIB,SCHOOL_YEAR,MEASURE_NAME,MASKED_VALUE
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,73.6
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,76.8
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,78.5
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,79.8
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,80.8
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,74.6
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,79.5
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,74.5
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,73.5
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,76.3
DISTRICT LEVEL,BC Public School,57,Prince George,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,67.6
DISTRICT LEVEL,BC Public School,57,Prince George,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,68.2
DISTRICT LEVEL,BC Public School,57,Prince George,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,67.7
DISTRICT LEVEL,BC Public School,57,Prince George,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,69.9
DISTRICT LEVEL,BC Public School,57,Prince George,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,67.6
DISTRICT LEVEL,BC Public School,57,Prince George,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,70.1
DISTRICT LEVEL,BC Public School,57,Prince George,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,66
DISTRICT LEVEL,BC Public School,57,Prince George,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,65.5
DISTRICT LEVEL,BC Public School,57,Prince George,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,69.8
DISTRICT LEVEL,BC Public School,57,Prince George,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,69.6
DISTRICT LEVEL,BC Public School,57,Prince George,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,72.4
DISTRICT LEVEL,BC Public School,57,Prince George,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,71.4
DISTRICT LEVEL,BC Public School,57,Prince George,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,75.8
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,71.6
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,69.4
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,67.1
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,64.8
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,63
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,58.7
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,54.1
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,59.5
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,53
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,57.1
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,68
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,64.2
DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,65.9
DISTRICT LEVEL,BC Public School,59,Peace River South,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,70.1
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,72.1
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,72.6
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,61.8
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,63.2
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,71
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,71.4
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,73.2
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,67.3
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,71.3
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,64.9
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,72.2
DISTRICT LEVEL,BC Public School,59,Peace River South,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,76.2
DISTRICT LEVEL,BC Public School,60,Peace River North,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,72.4
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,82.2
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,75.6
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,78.3
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,83.4
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,80.3
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,74.5
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,69.1
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,63.7
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,72
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,66.3
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,68
DISTRICT LEVEL,BC Public School,60,Peace River North,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,68.5
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,68.8
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,69.5
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,73.1
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,73.7
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,74.2
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,76
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,75
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,74.8
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,70.8
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,71.1
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,72.9
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,76
DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,77.8
DISTRICT LEVEL,BC Public School,62,Sooke,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,63.1
DISTRICT LEVEL,BC Public School,62,Sooke,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,65.3
DISTRICT LEVEL,BC Public School,62,Sooke,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,61.9
DISTRICT LEVEL,BC Public School,62,Sooke,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,69.3
DISTRICT LEVEL,BC Public School,62,Sooke,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,68
DISTRICT LEVEL,BC Public School,62,Sooke,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,65.6
DISTRICT LEVEL,BC Public School,62,Sooke,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,70.1
DISTRICT LEVEL,BC Public School,62,Sooke,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,69.2
DISTRICT LEVEL,BC Public School,62,Sooke,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,70.8
DISTRICT LEVEL,BC Public School,62,Sooke,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,69.3
DISTRICT LEVEL,BC Public School,62,Sooke,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,71.6
DISTRICT LEVEL,BC Public School,62,Sooke,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,75.8
DISTRICT LEVEL,BC Public School,62,Sooke,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,73.3
DISTRICT LEVEL,BC Public School,63,Saanich,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,76.5
DISTRICT LEVEL,BC Public School,63,Saanich,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,76.5
DISTRICT LEVEL,BC Public School,63,Saanich,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,80
DISTRICT LEVEL,BC Public School,63,Saanich,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,82.2
DISTRICT LEVEL,BC Public School,63,Saanich,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,78.9
DISTRICT LEVEL,BC Public School,63,Saanich,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,71
DISTRICT LEVEL,BC Public School,63,Saanich,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,71.9
DISTRICT LEVEL,BC Public School,63,Saanich,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,77.7
DISTRICT LEVEL,BC Public School,63,Saanich,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,71.6
DISTRICT LEVEL,BC Public School,63,Saanich,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,64.1
DISTRICT LEVEL,BC Public School,63,Saanich,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,66.6
DISTRICT LEVEL,BC Public School,63,Saanich,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,68.7
DISTRICT LEVEL,BC Public School,63,Saanich,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,65.9
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,75.7
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,64
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,71.5
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,68.8
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,78.2
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,71.2
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,76.1
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,77.3
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,70.6
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,65.1
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,65.7
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,71.4
DISTRICT LEVEL,BC Public School,64,Gulf Islands,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,74.7
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,71.6
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,75
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,78.8
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,84.8
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,83.3
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,82
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,84.1
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,85.1
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,81.1
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,81.8
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,84.4
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,83.7
DISTRICT LEVEL,BC Public School,67,Okanagan Skaha,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,84.2
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,72.1
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,72.5
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,75.7
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,79.1
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,75.6
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,77.1
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,75.1
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,75.4
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,72.2
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,71.1
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,68.2
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,69.6
DISTRICT LEVEL,BC Public School,68,Nanaimo-Ladysmith,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,71.6
DISTRICT LEVEL,BC Public School,69,Qualicum,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,63.5
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,70.9
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,67.5
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,71.7
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,74.1
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,73.8
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,73.7
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,71.1
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,73.6
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,74
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,76.8
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,78.8
DISTRICT LEVEL,BC Public School,69,Qualicum,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,76.5
DISTRICT LEVEL,BC Public School,70,Alberni,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,63.9
DISTRICT LEVEL,BC Public School,70,Alberni,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,59.3
DISTRICT LEVEL,BC Public School,70,Alberni,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,57.1
DISTRICT LEVEL,BC Public School,70,Alberni,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,67.4
DISTRICT LEVEL,BC Public School,70,Alberni,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,66.7
DISTRICT LEVEL,BC Public School,70,Alberni,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,63.4
DISTRICT LEVEL,BC Public School,70,Alberni,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,64.8
DISTRICT LEVEL,BC Public School,70,Alberni,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,65.3
DISTRICT LEVEL,BC Public School,70,Alberni,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,68.4
DISTRICT LEVEL,BC Public School,70,Alberni,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,63.1
DISTRICT LEVEL,BC Public School,70,Alberni,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,64
DISTRICT LEVEL,BC Public School,70,Alberni,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,63.9
DISTRICT LEVEL,BC Public School,70,Alberni,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,68.1
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,80.2
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,80.9
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,82.7
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,75.8
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,74.5
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,71
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,75.2
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,70.7
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,66.8
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,67.4
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,71.3
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,69.7
DISTRICT LEVEL,BC Public School,71,Comox Valley,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,76.8
DISTRICT LEVEL,BC Public School,72,Campbell River,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,76.3
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,76.5
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,74.8
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,76.1
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,78.5
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,76.9
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,76.2
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,82.2
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,80.4
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,74.6
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,79.4
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,81.8
DISTRICT LEVEL,BC Public School,72,Campbell River,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,82.4
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,73.8
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,75.6
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,76.3
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,78.9
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,78.4
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,76.1
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,78.5
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,77.9
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,75.5
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,75.4
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,76.1
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,75.9
DISTRICT LEVEL,BC Public School,73,Kamloops/Thompson,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,77.8
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,67.3
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,57.4
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,55.3
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,63.3
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,55.5
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,60
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,59.7
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,64.6
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,63.4
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,57.6
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,67.9
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,59.1
DISTRICT LEVEL,BC Public School,74,Gold Trail,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,66.7
DISTRICT LEVEL,BC Public School,75,Mission,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,66.2
