DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,MINCODE_ATTRIB,SCHOOL_NAME_ATTRIB,SCHOOL_YEAR,MEASURE_NAME,MASKED_VALUE
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,97.9
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,87.4
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,88.4
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,81
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,82.6
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,84.6
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,90.1
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,87.4
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,86.6
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,84.5
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,82.2
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,78.7
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,82.8
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,83.9
DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,80.1
