SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2011/2012,BC Public School,8,Kootenay Lake,807011,Salmo Elementary School,Standard,650 Glendale Ave,Salmo,BC,V0G1Z0,250 357-2214,250 357-9449,49.1897,-117.275,ELEMENTARY,K-6,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,807012,Salmo Secondary,Standard,715 Davies Ave,Salmo,BC,V0G1Z0,250 357-2226,250 357-9777,49.1907,-117.28,ELEMENTARY SECONDARY,12-Jul,TRUE,TRUE
2011/2012,BC Public School,8,Kootenay Lake,807013,L V Rogers Secondary,Standard,1004 Cottonwood St,Nelson,BC,V1L3W2,250 352-5538,250 352-3119,49.5022,-117.272,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,8,Kootenay Lake,807014,South Nelson Elementary,Standard,814 Latimer St,Nelson,BC,V1L4V7,250 354-4139,250 354-4407,49.4898,-117.286,ELEMENTARY,K-5,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,807016,Blewett Elementary School,Standard,2665 Blewett Rd,Nelson,BC,V1L6V4,250 352-5314,250 352-1648,49.4889,-117.37,ELEMENTARY,K-5,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,807018,Rosemont Elementary School,Standard,1605 Crease Ave,Nelson,BC,V1L1A5,250 352-3182,250 352-9761,49.4809,-117.303,ELEMENTARY,K-5,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,807025,Mount Sentinel Secondary,Standard,1014 Playmor Rd,South Slocan,BC,V0G2G0,250 359-7219,250 359-7688,49.4451,-117.537,ELEMENTARY SECONDARY,12-Jul,TRUE,TRUE
2011/2012,BC Public School,8,Kootenay Lake,807026,W.E. Graham Community School,Standard,915 Harold St,Slocan,BC,V0G2C0,250 355-2212,250 355-2523,49.7638,-117.47,ELEMENTARY JR SECONDARY,K-10,TRUE,TRUE
2011/2012,BC Public School,8,Kootenay Lake,807033,Brent Kennedy Elementary,Standard,1092 Highway 6,Crescent Valley,BC,V0G2G0,250 359-7292,250 359-7522,49.4425,-117.545,ELEMENTARY,K-6,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,807034,Winlaw Elementary School,Standard,5604 Winlaw Bridge Rd,Winlaw,BC,V0G2J0,250 226-7217,250 226-7210,49.6134,-117.566,ELEMENTARY,K-6,TRUE,FALSE
